,ID,PDF saved,Document Link,Franchisor,Name of Franchise,Document Type,Year,File Number,Notes,Received Date,Added On
0,PDF0000,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={62511232-0E11-41FC-B042-34F7EF311BFD},Management Recruiters International Inc.,"Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Red Line FDD 7 of 7,10/03/2014,10/08/2014
1,PDF0001,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={067B3B75-A3DF-4E14-8A9C-1421E8F7083E},Management Recruiters International Inc.,"Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Receipt,10/03/2014,10/08/2014
2,PDF0002,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={1918F39D-8293-42B6-B35F-C5C30EBA07D5},Management Recruiters International Inc.,"Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Order Amending Registration,10/03/2014,10/08/2014
3,PDF0003,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={0DAB232B-E648-4C39-BDDD-CF23C7961A3A},Management Recruiters International Inc.,"Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Red Line FDD 6 of 7,10/03/2014,10/08/2014
4,PDF0004,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={721114A8-8550-4794-A448-D8DBFF8C6D01},Management Recruiters International Inc.,"Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Red Line FDD 5 of 7,10/03/2014,10/08/2014
5,PDF0005,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={3CC6AAB5-D383-455F-AB51-688B73250624},Management Recruiters International Inc.,"Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Red Line FDD 3 of 7,10/03/2014,10/08/2014
6,PDF0006,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={4F1926DC-918F-4504-8FC9-EBF69E4F6546},Management Recruiters International Inc.,"Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Red Line FDD 3 of 7 ,10/03/2014,10/08/2014
7,PDF0007,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={FDE7C17E-B7BE-4452-9D6F-C47D8556F801},Management Recruiters International Inc.,"Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Red Line 1 of 7,10/03/2014,10/08/2014
8,PDF0008,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={0C2605E6-DD82-46A4-A2FC-6F06A91D52E5},Management Recruiters International Inc.,"Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Red Line FDD 2 of 7,10/03/2014,10/08/2014
9,PDF0009,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={9F11E856-891E-4E48-A9EE-5985C4BD38E0},"Management Recruiters International, Inc.","Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Annual Renewal,04/09/2014,04/25/2014
10,PDF0010,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={7BE35CE7-6169-453C-AF37-DB5FF19C23C1},"Management Recruiters International, Inc.","Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Order Amending Registration,04/09/2014,04/25/2014
11,PDF0011,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={092DE21E-E9AB-4F10-A622-BCC0FFF42E0A},"Management Recruiters International, Inc.","Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Receipt,04/09/2014,04/25/2014
12,PDF0012,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={ECFA103D-8C4C-4E7A-ADA5-F8CA8065F7B2},"Management Recruiters International, Inc.","Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Order Amending Registration,04/09/2014,04/25/2014
13,PDF0013,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={32DCF64C-1321-4A1F-B7A6-3AF0AA49C541},"Management Recruiters International, Inc.","Management Recruiters, Sales Consultants",Disclosure Form,2014,174,Annual Renewal,04/09/2014,04/25/2014
14,PDF0014,-,https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={816CD3F6-697A-43A3-87C6-953F568CB2B3},"Management Recruiters International, Inc.","Management Recruiters, Sales Consultants",Disclosure Form,2014,174, FDD,04/09/2014,04/25/2014
